status,collision_index,collision_year,collision_reference,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_severity
Unvalidated,2024421409662,2024.0,421409662,2.0,1.0,2,1.0,10,2,0.0,0,2,0,0.0,9,-1.0,-1,-1,3,3
Unvalidated,2024401425259,2024.0,401425259,1.0,1.0,1,1.0,41,7,0.0,0,0,0,0.0,9,1.0,3,E01015761,3,3
Unvalidated,2024221410217,2024.0,221410217,1.0,1.0,1,2.0,21,5,0.0,0,0,0,,9,1.0,9,E01032451,3,3
Unvalidated,2024010516326,2024.0,010516326,1.0,1.0,1,1.0,22,5,0.0,0,0,0,0.0,9,1.0,7,E01029735,-1,3
Unvalidated,2024010502718,2024.0,,2.0,3.0,1,,56,9,0.0,0,0,0,0.0,9,1.0,10,E01023440,-1,3
Unvalidated,2024351411993,2024.0,351411993,2.0,1.0,1,2.0,71,10,0.0,0,0,0,0.0,1,1.0,10,E01018293,3,3
Unvalidated,2024451435989,2024.0,451435989,2.0,1.0,1,2.0,23,5,0.0,0,0,0,0.0,9,3.0,8,E01022562,7,2
,2024010510282,2024.0,010510282,2.0,3.0,2,2.0,92,11,0.0,0,2,0,0.0,9,1.0,10,E01002208,-1,3
Unvalidated,2024010494195,2024.0,010494195,1.0,1.0,1,1.0,20,4,0.0,0,0,0,0.0,5,1.0,8,E01003660,-1,3
Unvalidated,2024351411951,2024.0,351411951,2.0,1.0,1,1.0,-1,-1,0.0,0,0,0,0.0,90,-1.0,-1,-1,3,3
Unvalidated,2024351414207,2024.0,351414207,2.0,1.0,1,2.0,30,6,0.0,0,0,0,0.0,9,2.0,9,E01018159,3,3
Unvalidated,2024010511374,2024.0,010511374,3.0,2.0,1,1.0,-1,-1,0.0,0,0,0,0.0,1,-1.0,-1,-1,-1,3
,2024411420543,2024.0,411420543,1.0,1.0,1,2.0,19,4,0.0,0,0,0,0.0,9,1.0,9,E01015797,3,3
Unvalidated,2024031397213,2024.0,031397213,1.0,1.0,1,2.0,30,6,0.0,0,0,0,0.0,9,-1.0,-1,-1,1,1
Unvalidated,2024421428157,2024.0,421428157,2.0,2.0641495617213548,2,1.0,17,4,0.0,0,1,0,0.0,9,1.0,8,E01021482,3,3
Unvalidated,2024061423252,2024.0,061423252,1.0,2.0,3,1.0,82,11,5.0,1,0,0,0.0,0,1.0,8,E01005023,3,3
Unvalidated,2024411448925,2024.0,411448925,2.0,5.0,2,1.0,27,6,0.0,0,1,0,0.0,9,-1.0,-1,-1,3,3
